position,location,job_url
SW Test Engineer,Malaysia- Kuala Lumpur (Amdocs Site),https://jobs.amdocs.com/careers/job/563430995000348
Software Engineer,Malaysia- Kuala Lumpur (Amdocs Site),https://jobs.amdocs.com/careers/job/563430994551300
SW Test Engineering Specialist,Cyprus- Limassol (Amdocs Site),https://jobs.amdocs.com/careers/job/563430994130856
Performance Test Manager,India- Pune (Amdocs Site),https://jobs.amdocs.com/careers/job/563430994287158
Sales Director,Malaysia- Kuala Lumpur (Amdocs Site),https://jobs.amdocs.com/careers/job/563430993879731
Sales Director,Malaysia- Kuala Lumpur (Amdocs Site),https://jobs.amdocs.com/careers/job/563430994221371
Software Engineer,Mexico-Guadalajara (AM),https://jobs.amdocs.com/careers/job/563430994966524
Software Engineer,Mexico-Guadalajara (AM),https://jobs.amdocs.com/careers/job/563430994966516
System Specialist- Pune,India- Pune (Amdocs Site),https://jobs.amdocs.com/careers/job/563430995088231
DevOps Specialist ( Azure ),Cyprus- Limassol (Amdocs Site),https://jobs.amdocs.com/careers/job/563430994347757
